"id","created_at","updated_at","reference","location","country","latitude","longitude","wiki_url","name"
1,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","albert_park","Melbourne","Australia",-38,145,"http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit","Albert Park Grand Prix Circuit"
2,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","sepang","Kuala Lumpur","Malaysia",3,102,"http://en.wikipedia.org/wiki/Sepang_International_Circuit","Sepang International Circuit"
3,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","bahrain","Sakhir","Bahrain",26,51,"http://en.wikipedia.org/wiki/Bahrain_International_Circuit","Bahrain International Circuit"
4,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","catalunya","Montmeló","Spain",42,2,"http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya","Circuit de Barcelona-Catalunya"
5,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","istanbul","Istanbul","Turkey",41,29,"http://en.wikipedia.org/wiki/Istanbul_Park","Istanbul Park"
6,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","monaco","Monte-Carlo","Monaco",44,7,"http://en.wikipedia.org/wiki/Circuit_de_Monaco","Circuit de Monaco"
7,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","villeneuve","Montreal","Canada",46,-74,"http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve","Circuit Gilles Villeneuve"
8,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","magny_cours","Magny Cours","France",47,3,"http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours","Circuit de Nevers Magny-Cours"
9,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","silverstone","Silverstone","UK",52,-1,"http://en.wikipedia.org/wiki/Silverstone_Circuit","Silverstone Circuit"
10,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","hockenheimring","Hockenheim","Germany",49,9,"http://en.wikipedia.org/wiki/Hockenheimring","Hockenheimring"
11,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","hungaroring","Budapest","Hungary",48,19,"http://en.wikipedia.org/wiki/Hungaroring","Hungaroring"
12,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","valencia","Valencia","Spain",39,0,"http://en.wikipedia.org/wiki/Valencia_Street_Circuit","Valencia Street Circuit"
13,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","spa","Spa","Belgium",50,6,"http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps","Circuit de Spa-Francorchamps"
14,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","monza","Monza","Italy",46,9,"http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza","Autodromo Nazionale di Monza"
15,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","marina_bay","Marina Bay","Singapore",1,104,"http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit","Marina Bay Street Circuit"
16,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","fuji","Oyama","Japan",35,139,"http://en.wikipedia.org/wiki/Fuji_Speedway","Fuji Speedway"
17,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","shanghai","Shanghai","China",31,121,"http://en.wikipedia.org/wiki/Shanghai_International_Circuit","Shanghai International Circuit"
18,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","interlagos","São Paulo","Brazil",-24,-47,"http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace","Autódromo José Carlos Pace"
19,"2023-10-19 19:32:30.867328","2023-10-19 19:32:30.867328","indianapolis","Indianapolis","USA",40,-86,"http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway","Indianapolis Motor Speedway"
