"id","created_at","updated_at","name","reference","nationality","wiki_url"
1,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","McLaren","mclaren","British","http://en.wikipedia.org/wiki/McLaren"
2,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","BMW Sauber","bmw_sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
3,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Williams","williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
4,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Renault","renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
5,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Toro Rosso","toro_rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
6,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Ferrari","ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
7,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Toyota","toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
8,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Super Aguri","super_aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
9,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Red Bull","red_bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
10,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Force India","force_india","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
11,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Honda","honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
12,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Spyker","spyker","Dutch","http://en.wikipedia.org/wiki/Spyker_F1"
13,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","MF1","mf1","Russian","http://en.wikipedia.org/wiki/Midland_F1_Racing"
14,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Spyker MF1","spyker_mf1","Dutch","http://en.wikipedia.org/wiki/Midland_F1_Racing"
15,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Sauber","sauber","Swiss","http://en.wikipedia.org/wiki/Sauber"
16,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","BAR","bar","British","http://en.wikipedia.org/wiki/British_American_Racing"
17,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Jordan","jordan","Irish","http://en.wikipedia.org/wiki/Jordan_Grand_Prix"
18,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Minardi","minardi","Italian","http://en.wikipedia.org/wiki/Minardi"
19,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Jaguar","jaguar","British","http://en.wikipedia.org/wiki/Jaguar_Racing"
