year,round,circuitId,name,date,wiki_url,fp1_date,fp2_date,fp3_date,qualifying_date,sprint_date
1,1,9,British Grand Prix,1950-05-13 00:00:00Z,http://en.wikipedia.org/wiki/1950_British_Grand_Prix,,,,,
1,2,6,Monaco Grand Prix,1950-05-21 00:00:00Z,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix,,,,,
1,3,19,Indianapolis 500,1950-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1950_Indianapolis_500,,,,,
1,4,66,Swiss Grand Prix,1950-06-04 00:00:00Z,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,,,,,
1,5,13,Belgian Grand Prix,1950-06-18 00:00:00Z,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,,,,,
1,6,55,French Grand Prix,1950-07-02 00:00:00Z,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,,,,,
1,7,14,Italian Grand Prix,1950-09-03 00:00:00Z,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,,,,,
2,1,66,Swiss Grand Prix,1951-05-27 00:00:00Z,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,,,,,
2,2,19,Indianapolis 500,1951-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1951_Indianapolis_500,,,,,
2,3,13,Belgian Grand Prix,1951-06-17 00:00:00Z,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,,,,,
2,4,55,French Grand Prix,1951-07-01 00:00:00Z,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,,,,,
2,5,9,British Grand Prix,1951-07-14 00:00:00Z,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,,,,,
2,6,20,German Grand Prix,1951-07-29 00:00:00Z,http://en.wikipedia.org/wiki/1951_German_Grand_Prix,,,,,
2,7,14,Italian Grand Prix,1951-09-16 00:00:00Z,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,,,,,
2,8,67,Spanish Grand Prix,1951-10-28 00:00:00Z,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,,,,,
3,1,66,Swiss Grand Prix,1952-05-18 00:00:00Z,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,,,,,
3,2,19,Indianapolis 500,1952-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1952_Indianapolis_500,,,,,
3,3,13,Belgian Grand Prix,1952-06-22 00:00:00Z,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,,,,,
3,4,53,French Grand Prix,1952-07-06 00:00:00Z,http://en.wikipedia.org/wiki/1952_French_Grand_Prix,,,,,
3,5,9,British Grand Prix,1952-07-19 00:00:00Z,http://en.wikipedia.org/wiki/1952_British_Grand_Prix,,,,,
3,6,20,German Grand Prix,1952-08-03 00:00:00Z,http://en.wikipedia.org/wiki/1952_German_Grand_Prix,,,,,
3,7,39,Dutch Grand Prix,1952-08-17 00:00:00Z,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,,,,,
3,8,14,Italian Grand Prix,1952-09-07 00:00:00Z,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,,,,,
4,1,25,Argentine Grand Prix,1953-01-18 00:00:00Z,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,,,,,
4,2,19,Indianapolis 500,1953-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1953_Indianapolis_500,,,,,
4,3,39,Dutch Grand Prix,1953-06-07 00:00:00Z,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,,,,,
4,4,13,Belgian Grand Prix,1953-06-21 00:00:00Z,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,,,,,
4,5,55,French Grand Prix,1953-07-05 00:00:00Z,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,,,,,
4,6,9,British Grand Prix,1953-07-18 00:00:00Z,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,,,,,
4,7,20,German Grand Prix,1953-08-02 00:00:00Z,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,,,,,
4,8,66,Swiss Grand Prix,1953-08-23 00:00:00Z,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix,,,,,
4,9,14,Italian Grand Prix,1953-09-13 00:00:00Z,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix,,,,,
5,1,25,Argentine Grand Prix,1954-01-17 00:00:00Z,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix,,,,,
5,2,19,Indianapolis 500,1954-05-31 00:00:00Z,http://en.wikipedia.org/wiki/1954_Indianapolis_500,,,,,
5,3,13,Belgian Grand Prix,1954-06-20 00:00:00Z,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix,,,,,
5,4,55,French Grand Prix,1954-07-04 00:00:00Z,http://en.wikipedia.org/wiki/1954_French_Grand_Prix,,,,,
5,5,9,British Grand Prix,1954-07-17 00:00:00Z,http://en.wikipedia.org/wiki/1954_British_Grand_Prix,,,,,
5,6,20,German Grand Prix,1954-08-01 00:00:00Z,http://en.wikipedia.org/wiki/1954_German_Grand_Prix,,,,,
5,7,66,Swiss Grand Prix,1954-08-22 00:00:00Z,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix,,,,,
5,8,14,Italian Grand Prix,1954-09-05 00:00:00Z,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix,,,,,
5,9,67,Spanish Grand Prix,1954-10-24 00:00:00Z,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix,,,,,
6,1,25,Argentine Grand Prix,1955-01-16 00:00:00Z,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix,,,,,
6,2,6,Monaco Grand Prix,1955-05-22 00:00:00Z,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix,,,,,
6,3,19,Indianapolis 500,1955-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1955_Indianapolis_500,,,,,
6,4,13,Belgian Grand Prix,1955-06-05 00:00:00Z,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix,,,,,
6,5,39,Dutch Grand Prix,1955-06-19 00:00:00Z,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix,,,,,
6,6,58,British Grand Prix,1955-07-16 00:00:00Z,http://en.wikipedia.org/wiki/1955_British_Grand_Prix,,,,,
6,7,14,Italian Grand Prix,1955-09-11 00:00:00Z,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix,,,,,
7,1,25,Argentine Grand Prix,1956-01-22 00:00:00Z,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix,,,,,
7,2,6,Monaco Grand Prix,1956-05-13 00:00:00Z,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix,,,,,
7,3,19,Indianapolis 500,1956-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1956_Indianapolis_500,,,,,
7,4,13,Belgian Grand Prix,1956-06-03 00:00:00Z,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix,,,,,
7,5,55,French Grand Prix,1956-07-01 00:00:00Z,http://en.wikipedia.org/wiki/1956_French_Grand_Prix,,,,,
7,6,9,British Grand Prix,1956-07-14 00:00:00Z,http://en.wikipedia.org/wiki/1956_British_Grand_Prix,,,,,
7,7,20,German Grand Prix,1956-08-05 00:00:00Z,http://en.wikipedia.org/wiki/1956_German_Grand_Prix,,,,,
7,8,14,Italian Grand Prix,1956-09-02 00:00:00Z,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix,,,,,
8,1,25,Argentine Grand Prix,1957-01-13 00:00:00Z,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,,,,,
8,2,6,Monaco Grand Prix,1957-05-19 00:00:00Z,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix,,,,,
8,3,19,Indianapolis 500,1957-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1957_Indianapolis_500,,,,,
8,4,53,French Grand Prix,1957-07-07 00:00:00Z,http://en.wikipedia.org/wiki/1957_French_Grand_Prix,,,,,
8,5,58,British Grand Prix,1957-07-20 00:00:00Z,http://en.wikipedia.org/wiki/1957_British_Grand_Prix,,,,,
8,6,20,German Grand Prix,1957-08-04 00:00:00Z,http://en.wikipedia.org/wiki/1957_German_Grand_Prix,,,,,
8,7,65,Pescara Grand Prix,1957-08-18 00:00:00Z,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix,,,,,
8,8,14,Italian Grand Prix,1957-09-08 00:00:00Z,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix,,,,,
9,1,25,Argentine Grand Prix,1958-01-19 00:00:00Z,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix,,,,,
9,2,6,Monaco Grand Prix,1958-05-18 00:00:00Z,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix,,,,,
9,3,39,Dutch Grand Prix,1958-05-26 00:00:00Z,http://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix,,,,,
9,4,19,Indianapolis 500,1958-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1958_Indianapolis_500,,,,,
9,5,13,Belgian Grand Prix,1958-06-15 00:00:00Z,http://en.wikipedia.org/wiki/1958_Belgian_Grand_Prix,,,,,
9,6,55,French Grand Prix,1958-07-06 00:00:00Z,http://en.wikipedia.org/wiki/1958_French_Grand_Prix,,,,,
9,7,9,British Grand Prix,1958-07-19 00:00:00Z,http://en.wikipedia.org/wiki/1958_British_Grand_Prix,,,,,
9,8,20,German Grand Prix,1958-08-03 00:00:00Z,http://en.wikipedia.org/wiki/1958_German_Grand_Prix,,,,,
9,9,59,Portuguese Grand Prix,1958-08-24 00:00:00Z,http://en.wikipedia.org/wiki/1958_Portuguese_Grand_Prix,,,,,
9,10,14,Italian Grand Prix,1958-09-07 00:00:00Z,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix,,,,,
9,11,64,Moroccan Grand Prix,1958-10-19 00:00:00Z,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix,,,,,
10,1,6,Monaco Grand Prix,1959-05-10 00:00:00Z,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix,,,,,
10,2,19,Indianapolis 500,1959-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1959_Indianapolis_500,,,,,
10,3,39,Dutch Grand Prix,1959-05-31 00:00:00Z,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix,,,,,
10,4,55,French Grand Prix,1959-07-05 00:00:00Z,http://en.wikipedia.org/wiki/1959_French_Grand_Prix,,,,,
10,5,58,British Grand Prix,1959-07-18 00:00:00Z,http://en.wikipedia.org/wiki/1959_British_Grand_Prix,,,,,
10,6,61,German Grand Prix,1959-08-02 00:00:00Z,http://en.wikipedia.org/wiki/1959_German_Grand_Prix,,,,,
10,7,62,Portuguese Grand Prix,1959-08-23 00:00:00Z,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix,,,,,
